2014-01-01;Nový rok
2014-01-02;Alexandra
2014-01-03;Daniela
2014-01-04;Drahoslav
2014-01-05;Andrea
2014-01-06;Antónia
2014-01-07;Bohuslava
2014-01-08;Severín
2014-01-09;Alexej
2014-01-10;Dáša
2014-01-11;Malvína
2014-01-12;Ernest
2014-01-13;Rastislav
2014-01-14;Radovan
2014-01-15;Dobroslav
2014-01-16;Kristína
2014-01-17;Nataša
2014-01-18;Bohdana
2014-01-19;Drahomíra
2014-01-20;Dalibor
2014-01-21;Vincent
2014-01-22;Zora
2014-01-23;Miloš
2014-01-24;Timotej
2014-01-25;Gejza
2014-01-26;Tamara
2014-01-27;Bohuš
2014-01-28;Alfonz
2014-01-29;Gašpar
2014-01-30;Ema
2014-01-31;Emil
2014-02-01;Tatiana
2014-02-02;Erik
2014-02-03;Blažej
2014-02-04;Veronika
2014-02-05;Agáta
2014-02-06;Dorota
2014-02-07;Vanda
2014-02-08;Zoja
2014-02-09;Zdenko
2014-02-10;Gabriela
2014-02-11;Dezider
2014-02-12;Perla
2014-02-13;Arpád
2014-02-14;Valentín
2014-02-15;Pravoslav
2014-02-16;Ida Liana
2014-02-17;Miloslava
2014-02-18;Jaromír
2014-02-19;Vlasta
2014-02-20;Lívia
2014-02-21;Eleonóra
2014-02-22;Etela
2014-02-23;Roman
2014-02-24;Matej
2014-02-25;Frederik
2014-02-26;Viktor
2014-02-27;Alexander
2014-02-28;Zlatica
2014-02-29;Radomír
2014-03-01;Albín
2014-03-02;Anežka
2014-03-03;Bohumil
2014-03-04;Kazimír
2014-03-05;Fridrich
2014-03-06;Radoslav
2014-03-07;Tomáš
2014-03-08;Alan
2014-03-09;Františka
2014-03-10;Branislav
2014-03-11;Angela
2014-03-12;Gregor
2014-03-13;Vlastimil
2014-03-14;Matilda
2014-03-15;Svetlana
2014-03-16;Boleslav
2014-03-17;Ľubica
2014-03-18;Eduard
2014-03-19;Jozef
2014-03-20;Víťazoslav
2014-03-21;Blahoslav
2014-03-22;Beňadik
2014-03-23;Adrián
2014-03-24;Gabriel
2014-03-25;Marián
2014-03-26;Emanuel
2014-03-27;Alena
2014-03-28;Soňa
2014-03-29;Miroslav
2014-03-30;Vieroslava
2014-03-31;Benjamín
2014-04-01;Hugo
2014-04-02;Zita
2014-04-03;Richard
2014-04-04;Izidor
2014-04-05;Miroslava
2014-04-06;Irena
2014-04-07;Zoltán
2014-04-08;Albert
2014-04-09;Milena
2014-04-10;Igor
2014-04-11;Július
2014-04-12;Estera
2014-04-13;Aleš
2014-04-14;Justína
2014-04-15;Fedor
2014-04-16;Dana
2014-04-17;Rudolf
2014-04-18;Valér
2014-04-19;Jela
2014-04-20;Marcel
2014-04-21;Ervín
2014-04-22;Slavomír
2014-04-23;Vojtech
2014-04-24;Juraj
2014-04-25;Marek
2014-04-26;Jaroslava
2014-04-27;Jaroslav
2014-04-28;Jarmila
2014-04-29;Lea
2014-04-30;Anastázia
2014-05-01;Sviatok práce
2014-05-02;Žigmund
2014-05-03;Galina
2014-05-04;Florián
2014-05-05;Lesana
2014-05-06;Hermína
2014-05-07;Monika
2014-05-08;Ingrida
